token_idx,token,char_span,audio_sec_span,frame_span,text_row,audio_row,vision_row,confidence
1,So,0-2,0.602-0.922,21-33,0,0.602,21,0.822
2,if,3-5,1.103-1.163,39-42,3,1.103,39,1.0
3,you,6-9,1.203-1.324,43-47,6,1.203,43,0.933
4,have,10-14,1.364-1.504,49-54,10,1.364,49,0.865
5,a,15-16,1.524-1.544,55-55,15,1.524,55,0.951
6,loved,17-22,1.604-1.805,58-65,17,1.604,58,0.971
7,one,23-26,1.905-1.985,69-71,23,1.905,69,0.834
8,who,27-30,2.025-2.146,73-77,27,2.025,73,0.676
9,is,31-33,2.206-2.286,79-82,31,2.206,79,0.667
10,depressed,34-43,2.306-2.928,83-106,34,2.306,83,0.852
11,those,44-49,3.269-3.449,118-124,44,3.269,118,0.949
12,are,50-53,3.489-3.590,126-130,50,3.489,126,0.735
13,some,54-58,3.610-3.750,130-135,54,3.61,130,0.863
14,of,59-61,3.770-3.830,136-138,59,3.77,136,0.802
15,the,62-65,3.870-3.951,140-143,62,3.87,140,0.905
16,things,66-72,4.011-4.231,145-153,66,4.011,145,0.932
17,that,73-77,4.251-4.352,154-157,73,4.251,154,0.955
18,you,78-81,4.392-4.512,159-163,78,4.392,159,0.891
19,should,82-88,4.532-4.713,164-170,82,4.532,164,0.808
20,think,89-94,4.733-4.893,171-177,89,4.733,171,0.852
21,about,95-100,4.933-5.154,178-186,95,4.933,178,0.918
22,doing.,101-107,5.194-5.455,188-197,101,5.194,188,0.961
