token_idx,token,char_span,audio_sec_span,frame_span,text_row,audio_row,vision_row,confidence
1,The,0-3,0.501-0.601,18-21,0,0.501,18,0.98
2,perfect,4-11,0.641-0.981,23-35,4,0.641,23,0.958
3,soul,12-16,1.026-1.368,37-49,12,1.026,37,
4,mate,17-21,1.454-1.796,52-65,17,1.454,52,
5,to,22-24,1.602-1.722,58-62,22,1.602,58,0.766
6,the,25-28,2.138-2.394,77-87,25,2.138,77,
7,Clarisonic,29-39,2.480-3.335,90-121,29,2.48,90,
8,Spot,40-44,3.103-3.444,112-125,40,3.103,112,0.938
9,Therapy,45-52,3.564-4.024,129-146,45,3.564,129,0.647
10,"Brush,",53-59,4.045-4.405,146-160,53,4.045,146,0.925
11,this,60-64,4.946-5.106,179-185,60,4.946,179,0.888
12,"gentle,",65-72,5.186-5.666,188-205,65,5.186,188,0.894
13,Ph,73-75,6.242-6.413,226-233,73,6.242,226,
14,balanced,76-84,6.499-7.183,236-261,76,6.499,236,
15,and,85-88,6.748-6.828,245-248,85,6.748,245,0.677
16,hydrating,89-98,6.908-7.508,251-272,89,6.908,251,0.92
17,exfoliant,99-108,7.649-8.309,277-301,99,7.649,277,0.782
18,containing,109-119,9.321-10.176,338-369,109,9.321,338,
19,jojoba,120-126,10.262-10.775,372-391,120,10.262,372,
20,and,127-130,10.312-10.412,374-378,127,10.312,374,0.635
21,acai,131-135,11.202-11.544,407-419,131,11.202,407,
22,fruit,136-141,11.152-11.393,405-413,136,11.152,405,0.865
23,oils,142-146,11.493-11.713,417-425,142,11.493,417,0.843
24,and,147-150,12.570-12.827,456-466,147,12.57,456,
25,bamboo,151-157,12.714-13.275,461-482,151,12.714,461,0.934
26,and,158-161,13.575-13.675,493-496,158,13.575,493,0.75
27,prickly,162-169,13.755-14.116,499-512,162,13.755,499,0.834
28,bear,170-174,14.537-14.879,528-540,170,14.537,528,
29,extracts,175-183,14.656-15.157,532-550,175,14.656,532,0.928
30,deliver,184-191,15.958-16.398,579-595,184,15.958,579,0.885
31,intense,192-199,16.518-16.919,600-614,192,16.518,600,0.881
32,"healing,",200-208,16.979-17.379,616-631,200,16.979,616,0.821
33,while,209-214,17.840-18.060,648-656,209,17.84,648,0.797
34,smooth,215-221,18.140-18.421,659-669,215,18.14,659,0.852
35,granules,222-230,18.481-18.961,671-689,222,18.481,671,0.678
36,buff,231-235,19.081-19.342,693-702,231,19.081,693,0.912
37,away,236-240,19.382-19.722,704-716,236,19.382,704,0.914
38,"dead,",241-246,20.142-20.403,731-741,241,20.142,731,0.959
39,dry,247-250,20.703-21.144,752-768,247,20.703,752,0.871
40,skin,251-255,21.224-21.504,771-781,251,21.224,771,0.95
41,cells.,256-262,21.544-21.824,782-793,256,21.544,782,0.591
