id,video_id,clip_id,video_path,duration_sec,fps,total_frames,width,height,codec
-3g5yACwYnA$_$13,-3g5yACwYnA,13,/mnt/data2/home/chenyu/HuaWeiCup/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-3g5yACwYnA/13.mp4,8.767,30.0,261,1280,720,h264
-3g5yACwYnA$_$3,-3g5yACwYnA,3,/mnt/data2/home/chenyu/HuaWeiCup/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-3g5yACwYnA/3.mp4,19.273,30.0,578,1280,720,h264
-3g5yACwYnA$_$2,-3g5yACwYnA,2,/mnt/data2/home/chenyu/HuaWeiCup/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-3g5yACwYnA/2.mp4,14.234,30.0,424,1280,720,h264
-3g5yACwYnA$_$9,-3g5yACwYnA,9,/mnt/data2/home/chenyu/HuaWeiCup/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-3g5yACwYnA/9.mp4,16.234,30.0,486,1280,720,h264
-3nNcZdcdvU$_$5,-3nNcZdcdvU,5,/mnt/data2/home/chenyu/HuaWeiCup/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-3nNcZdcdvU/5.mp4,10.937,30.0,328,320,240,h264
-HwX2H8Z4hY$_$2,-HwX2H8Z4hY,2,/mnt/data2/home/chenyu/HuaWeiCup/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-HwX2H8Z4hY/2.mp4,8.151,30.0,244,1280,720,h264
-HwX2H8Z4hY$_$5,-HwX2H8Z4hY,5,/mnt/data2/home/chenyu/HuaWeiCup/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-HwX2H8Z4hY/5.mp4,11.467,30.0,343,1280,720,h264
-HwX2H8Z4hY$_$6,-HwX2H8Z4hY,6,/mnt/data2/home/chenyu/HuaWeiCup/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-HwX2H8Z4hY/6.mp4,6.767,30.0,202,1280,720,h264
-HwX2H8Z4hY$_$9,-HwX2H8Z4hY,9,/mnt/data2/home/chenyu/HuaWeiCup/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-HwX2H8Z4hY/9.mp4,11.434,30.0,343,1280,720,h264
-NFrJFQijFE$_$1,-NFrJFQijFE,1,/mnt/data2/home/chenyu/HuaWeiCup/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-NFrJFQijFE/1.mp4,9.12,25.0,227,1280,720,h264
